DTXSID	canonical SMILES
DTXSID4021894	OC1CCCCC1
DTXSID3032389	CC(C)=CCC/C(C)=C/CC/C(C)=C/CO
DTXSID4026684	CCCCCC/C(C=O)=C\c1ccccc1
DTXSID8022113	C=CC(Cl)CCl
DTXSID3023899	CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
DTXSID6027397	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
DTXSID6023733	CCCC(CCC)C(=O)O
DTXSID9032531	Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1
DTXSID8025886	CCOC(=O)C1OC1c1ccccc1
DTXSID9036690	CC(C)COC(=O)CCCCC(=O)OCC(C)C
DTXSID9047592	Oc1cc2ccccc2c2ccccc12
DTXSID3034614	COc1nn(C(=O)[N-]S(=O)(=O)c2ccccc2OC(F)(F)F)c(=O)n1C.[Na+]
DTXSID0022018	CCOP(=S)(OCC)SCCSCC
DTXSID7044394	CC(C)(C)C1CCC(=O)CC1
DTXSID7022332	CCC(C)c1ccc(O)cc1
DTXSID0034192	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
DTXSID4022527	CCCOC(=O)c1ccc(O)cc1
DTXSID7034961	N#CN=C1SCCN1Cc1ccc(Cl)nc1
DTXSID9022310	O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12
DTXSID7020845	COS(C)(=O)=O
DTXSID2023430	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
DTXSID0025523	Cc1occc(=O)c1O
DTXSID3021356	CC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DTXSID9042209	CCCCCCCCN(C)CCCCCCCC
DTXSID9022312	CCCCCCCCc1ccc(O)cc1
DTXSID4024270	CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1
DTXSID2041208	CCCCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
DTXSID7021152	Oc1ccc(-c2ccccc2)cc1
DTXSID4021395	CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
DTXSID5025021	O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1
DTXSID7027047	CC(=O)/C(C)=C\C1C(C)=CCCC1(C)C
DTXSID6020068	Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
DTXSID8032386	C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
DTXSID2024086	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
DTXSID2029298	CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+]
DTXSID2032390	OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
